Match: rule-set 'v1.1-baseline'  games=500  depth=8  max-plies=600  openings=500x6plies  seed=20260424  parallel=4
  [w3]  #324  1-0     Treasure checkmated or captured     139 plies    6.2s  (313/500)
  [w2]  #295  *       ply cap (600)                       600 plies   25.5s  (314/500)
  [w0]  #337  1-0     Treasure checkmated or captured     123 plies    5.5s  (315/500)
  [w1]  #302  1-0     Treasure checkmated or captured     177 plies    7.8s  (316/500)
  [w2]  #299  1-0     Treasure checkmated or captured     191 plies    8.3s  (317/500)
  [w1]  #306  0-1     Party extinct                       172 plies    7.5s  (318/500)
  [w0]  #341  1-0     Treasure checkmated or captured     229 plies   10.0s  (319/500)
  [w3]  #328  1-0     Treasure checkmated or captured     355 plies   15.2s  (320/500)
  [w2]  #303  1-0     Treasure checkmated or captured     141 plies    6.2s  (321/500)
  [w3]  #332  0-1     Party extinct                       122 plies    5.4s  (322/500)
  [w0]  #345  0-1     Party extinct                       184 plies    8.1s  (323/500)
  [w1]  #310  1-0     Treasure checkmated or captured     263 plies   11.4s  (324/500)
  [w2]  #307  1-0     Treasure checkmated or captured     331 plies   14.2s  (325/500)
  [w0]  #349  1-0     Treasure checkmated or captured     159 plies    7.0s  (326/500)
  [w1]  #314  1-0     Treasure checkmated or captured     197 plies    8.6s  (327/500)
  [w3]  #336  1-0     Treasure checkmated or captured     319 plies   13.9s  (328/500)
  [w0]  #353  0-1     Party extinct                       186 plies    8.1s  (329/500)
  [w1]  #318  0-1     Party extinct                       374 plies   16.2s  (330/500)
  [w0]  #357  0-1     Party extinct                       284 plies   12.4s  (331/500)
  [w3]  #340  0-1     Party extinct                       366 plies   15.9s  (332/500)
  [w2]  #311  *       ply cap (600)                       600 plies   25.4s  (333/500)
  [w3]  #344  0-1     Party extinct                       134 plies    6.0s  (334/500)
  [w1]  #322  0-1     Party extinct                       222 plies    9.6s  (335/500)
  [w0]  #361  1-0     Treasure checkmated or captured     281 plies   12.1s  (336/500)
  [w2]  #315  1-0     Treasure checkmated or captured     215 plies    9.3s  (337/500)
  [w3]  #348  0-1     Party extinct                       206 plies    9.0s  (338/500)
  [w1]  #326  0-1     Party extinct                       248 plies   10.7s  (339/500)
  [w0]  #365  0-1     Party extinct                       236 plies   10.3s  (340/500)
  [w2]  #319  0-1     Party extinct                       214 plies    9.3s  (341/500)
  [w2]  #323  0-1     Party extinct                       154 plies    6.8s  (342/500)
  [w0]  #369  1-0     Treasure checkmated or captured     229 plies    9.9s  (343/500)
  [w1]  #330  0-1     Party extinct                       436 plies   18.8s  (344/500)
  [w3]  #352  *       ply cap (600)                       600 plies   25.6s  (345/500)
  [w0]  #373  0-1     Party extinct                       254 plies   11.0s  (346/500)
  [w3]  #356  1-0     Treasure checkmated or captured     177 plies    7.8s  (347/500)
  [w0]  #377  0-1     Party extinct                       258 plies   11.2s  (348/500)
  [w2]  #327  *       ply cap (600)                       600 plies   25.6s  (349/500)
  [w3]  #360  1-0     Treasure checkmated or captured     163 plies    7.3s  (350/500)
  [w3]  #364  1-0     Treasure checkmated or captured       1 plies    0.3s  (351/500)
  [w3]  #368  1-0     Treasure checkmated or captured       1 plies    0.3s  (352/500)
