Match: rule-set 'v6-d8-minion-6-lurker-n-plus'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  [w3]  #268  *       ply cap (600)                       600 plies   25.4s  (285/300)
  [w3]  #272  *       ply cap (600)                       600 plies   25.4s  (286/300)
  [w3]  #276  0-1     Party has no legal response         132 plies    5.8s  (287/300)
  [w3]  #280  0-1     Party has no legal response         112 plies    5.0s  (288/300)
  [w3]  #284  0-1     Party extinct                       276 plies   11.9s  (289/300)
  [w2]  #275  *       engine timeout                      417 plies  137.8s  (290/300)
  [w3]  #288  *       ply cap (600)                       600 plies   25.5s  (291/300)
  [w2]  #279  1-0     Treasure checkmated or captured     289 plies   12.5s  (292/300)
  [w3]  #292  *       ply cap (600)                       600 plies   25.6s  (293/300)
  [w3]  #296  1-0     Treasure checkmated or captured      57 plies    2.7s  (294/300)
  [w2]  #283  *       ply cap (600)                       600 plies   25.6s  (295/300)
  [w2]  #287  1-0     Treasure checkmated or captured     165 plies    7.3s  (296/300)
  [w3]  #300  1-0     Treasure checkmated or captured     369 plies   15.8s  (297/300)
  [w2]  #291  1-0     Treasure checkmated or captured     187 plies    8.2s  (298/300)
  [w2]  #295  1-0     Treasure checkmated or captured      81 plies    3.7s  (299/300)
  [w2]  #299  1-0     Treasure checkmated or captured      51 plies    2.5s  (300/300)

========================================================
  Rule set    : v6-d8-minion-6-lurker-n-plus
  Games       : 300
--------------------------------------------------------
  Party wins  :  168  ( 56.0%)
  Horde wins  :   62  ( 20.7%)
  Unfinished  :   70  ( 23.3%)
--------------------------------------------------------
  Decisive      :  76.7%
  Party(decisive):  73.0%   95% CI [ 67.0% ..  78.4%]
  Imbalance     :  46.1%   (0% = perfectly balanced decisive games)
  Median plies  : 215  (decisive games)

  COMPOSITE SCORE : 0.413   (1.0 = balanced & decisive)
========================================================
  total time : 1354.7s  (4.52s / game, 4x)
  pgn        : reports/v6-overnight/match-v6-d8-minion-6-lurker-n-plus.pgn
