Match: rule-set 'v7-d8-spsa-base-best'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260426  parallel=4
  [w2]  #243  1-0     Treasure checkmated or captured     321 plies   13.9s  (213/300)
  [w3]  #224  0-1     Party extinct                       236 plies   10.2s  (214/300)
  [w2]  #247  0-1     Party extinct                       160 plies    7.1s  (215/300)
  [w3]  #228  0-1     Party extinct                       294 plies   12.7s  (216/300)
  [w2]  #251  1-0     Treasure checkmated or captured     177 plies    7.8s  (217/300)
  [w0]  #193  *       ply cap (600)                       600 plies   25.5s  (218/300)
  [w2]  #255  1-0     Treasure checkmated or captured     111 plies    5.0s  (219/300)
  [w3]  #232  0-1     Party extinct                       170 plies    7.5s  (220/300)
  [w1]  #198  *       ply cap (600)                       600 plies   25.5s  (221/300)
  [w2]  #259  1-0     Treasure checkmated or captured      77 plies    3.6s  (222/300)
  [w0]  #197  0-1     Party extinct                       268 plies   11.6s  (223/300)
  [w1]  #202  1-0     Treasure checkmated or captured     147 plies    6.5s  (224/300)
  [w2]  #263  1-0     Treasure checkmated or captured     133 plies    5.9s  (225/300)
  [w3]  #236  0-1     Party extinct                       236 plies   10.2s  (226/300)
  [w1]  #206  0-1     Party extinct                        96 plies    4.4s  (227/300)
  [w2]  #267  1-0     Treasure checkmated or captured     133 plies    5.9s  (228/300)
  [w0]  #201  0-1     Party extinct                       230 plies   10.0s  (229/300)
  [w3]  #240  0-1     Party extinct                       232 plies   10.1s  (230/300)
  [w0]  #205  0-1     Party extinct                       156 plies    6.9s  (231/300)
  [w2]  #271  0-1     Party extinct                       196 plies    8.6s  (232/300)
  [w3]  #244  1-0     Treasure checkmated or captured     139 plies    6.2s  (233/300)
  [w0]  #209  1-0     Treasure checkmated or captured     105 plies    4.8s  (234/300)
  [w0]  #213  1-0     Treasure checkmated or captured     183 plies    8.0s  (235/300)
  [w3]  #248  1-0     Treasure checkmated or captured     249 plies   10.8s  (236/300)
  [w1]  #210  *       ply cap (600)                       600 plies   25.5s  (237/300)
  [w2]  #275  0-1     Party extinct                       354 plies   15.2s  (238/300)
  [w0]  #217  1-0     Treasure checkmated or captured     131 plies    5.8s  (239/300)
  [w1]  #214  1-0     Treasure checkmated or captured      95 plies    4.3s  (240/300)
  [w3]  #252  0-1     Party extinct                       214 plies    9.3s  (241/300)
  [w2]  #279  1-0     Treasure checkmated or captured     223 plies    9.7s  (242/300)
  [w0]  #221  1-0     Treasure checkmated or captured     211 plies    9.2s  (243/300)
  [w1]  #218  1-0     Treasure checkmated or captured     201 plies    8.8s  (244/300)
  [w3]  #256  1-0     Treasure checkmated or captured     141 plies    6.3s  (245/300)
  [w1]  #222  1-0     Treasure checkmated or captured     173 plies    7.6s  (246/300)
  [w3]  #260  1-0     Treasure checkmated or captured     207 plies    9.0s  (247/300)
  [w0]  #225  0-1     Party extinct                       270 plies   11.7s  (248/300)
  [w3]  #264  0-1     Party extinct                       252 plies   11.0s  (249/300)
  [w2]  #283  *       ply cap (600)                       600 plies   25.5s  (250/300)
  [w0]  #229  0-1     Party extinct                       316 plies   13.6s  (251/300)
  [w2]  #287  0-1     Party extinct                       200 plies    8.8s  (252/300)
  [w3]  #268  0-1     Party extinct                       228 plies    9.9s  (253/300)
  [w1]  #226  *       ply cap (600)                       600 plies   25.6s  (254/300)
  [w0]  #233  0-1     Party extinct                       264 plies   11.4s  (255/300)
  [w2]  #291  1-0     Treasure checkmated or captured     157 plies    6.9s  (256/300)
  [w1]  #230  1-0     Treasure checkmated or captured     173 plies    7.6s  (257/300)
  [w2]  #295  1-0     Treasure checkmated or captured      93 plies    4.2s  (258/300)
  [w3]  #272  0-1     Party extinct                       350 plies   15.0s  (259/300)
  [w0]  #237  1-0     Treasure checkmated or captured     279 plies   12.0s  (260/300)
  [w2]  #299  0-1     Party extinct                       198 plies    8.7s  (261/300)
  [w1]  #234  0-1     Party extinct                       284 plies   12.3s  (262/300)
  [w1]  #238  1-0     Treasure checkmated or captured     173 plies    7.6s  (263/300)
  [w1]  #242  1-0     Treasure checkmated or captured     247 plies   10.8s  (264/300)
  [w3]  #276  *       ply cap (600)                       600 plies   25.5s  (265/300)
  [w0]  #241  *       ply cap (600)                       600 plies   25.5s  (266/300)
  [w0]  #245  0-1     Party has no legal response          72 plies    3.4s  (267/300)
  [w3]  #280  0-1     Party extinct                       184 plies    8.1s  (268/300)
  [w1]  #246  0-1     Party extinct                       240 plies   10.4s  (269/300)
  [w3]  #284  1-0     Treasure checkmated or captured     143 plies    6.3s  (270/300)
  [w0]  #249  1-0     Treasure checkmated or captured     259 plies   11.3s  (271/300)
  [w3]  #288  1-0     Treasure checkmated or captured      47 plies    2.3s  (272/300)
  [w0]  #253  1-0     Treasure checkmated or captured       5 plies    0.6s  (273/300)
  [w1]  #250  1-0     Treasure checkmated or captured     215 plies    9.4s  (274/300)
  [w1]  #254  0-1     Party has no legal response         162 plies    7.2s  (275/300)
  [w0]  #257  0-1     Party extinct                       230 plies   10.1s  (276/300)
  [w3]  #292  0-1     Party extinct                       322 plies   13.9s  (277/300)
  [w1]  #258  1-0     Treasure checkmated or captured     119 plies    5.3s  (278/300)
  [w3]  #296  0-1     Party extinct                        82 plies    3.8s  (279/300)
  [w0]  #261  1-0     Treasure checkmated or captured     187 plies    8.2s  (280/300)
  [w3]  #300  1-0     Treasure checkmated or captured     121 plies    5.4s  (281/300)
  [w0]  #265  0-1     Party extinct                       244 plies   10.6s  (282/300)
  [w0]  #269  0-1     Party extinct                       180 plies    8.1s  (283/300)
  [w1]  #262  *       ply cap (600)                       600 plies   25.5s  (284/300)
  [w0]  #273  0-1     Party extinct                       144 plies    6.4s  (285/300)
  [w0]  #277  1-0     Treasure checkmated or captured     145 plies    6.4s  (286/300)
  [w1]  #266  1-0     Treasure checkmated or captured     267 plies   11.5s  (287/300)
  [w1]  #270  1-0     Treasure checkmated or captured     153 plies    6.8s  (288/300)
  [w0]  #281  1-0     Treasure checkmated or captured     241 plies   10.4s  (289/300)
  [w0]  #285  0-1     Party extinct                       196 plies    8.5s  (290/300)
