Match: rule-set 'v5-d8-lurker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-lurker-range-62409-d352d2a6124d4e1ea334a7a9a1df7f10.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w0]  #285  0-1     Party extinct                       108 plies    5.1s  (268/300)
  [w2]  #267  *       ply cap (600)                       600 plies   26.7s  (269/300)
  [w2]  #271  0-1     Party extinct                       138 plies    6.3s  (270/300)
  [w0]  #289  0-1     Party extinct                       172 plies    7.9s  (271/300)
  [w2]  #275  0-1     Party has no legal response         136 plies    6.3s  (272/300)
  [w2]  #279  1-0     Treasure checkmated or captured       1 plies    0.4s  (273/300)
  [w2]  #283  1-0     Treasure checkmated or captured       1 plies    0.3s  (274/300)
  [w0]  #293  0-1     Party extinct                       130 plies    6.0s  (275/300)
  [w3]  #224  0-1     Party extinct                       396 plies   17.7s  (276/300)
  [w2]  #287  0-1     Party extinct                       314 plies   14.1s  (277/300)
  [w0]  #297  *       ply cap (600)                       600 plies   26.7s  (278/300)
  [w3]  #228  *       ply cap (600)                       600 plies   26.6s  (279/300)
  [w3]  #232  0-1     Party extinct                        90 plies    4.3s  (280/300)
  [w2]  #291  *       ply cap (600)                       600 plies   26.6s  (281/300)
  [w2]  #295  0-1     Party extinct                       140 plies    6.5s  (282/300)
  [w2]  #299  0-1     Party extinct                        90 plies    4.3s  (283/300)
  [w3]  #236  0-1     Party extinct                       468 plies   21.0s  (284/300)
  [w3]  #240  0-1     Party extinct                       340 plies   15.6s  (285/300)
  [w3]  #244  0-1     Party extinct                       146 plies    6.9s  (286/300)
  [w3]  #248  0-1     Party extinct                       102 plies    4.9s  (287/300)
  [w3]  #252  0-1     Party extinct                       346 plies   15.7s  (288/300)
  [w3]  #256  0-1     Party extinct                       118 plies    5.7s  (289/300)
  [w3]  #260  0-1     Party extinct                       292 plies   13.4s  (290/300)
  [w3]  #264  *       ply cap (600)                       600 plies   26.8s  (291/300)
  [w3]  #268  *       ply cap (600)                       600 plies   27.1s  (292/300)
  [w3]  #272  1-0     Treasure checkmated or captured       7 plies    0.7s  (293/300)
  [w3]  #276  1-0     Treasure checkmated or captured     503 plies   22.5s  (294/300)
  [w3]  #280  0-1     Party extinct                       274 plies   12.5s  (295/300)
  [w3]  #284  0-1     Party extinct                       162 plies    7.5s  (296/300)
  [w3]  #288  0-1     Party extinct                       252 plies   11.5s  (297/300)
  [w3]  #292  0-1     Party extinct                       220 plies   10.2s  (298/300)
  [w3]  #296  *       ply cap (600)                       600 plies   26.8s  (299/300)
  [w3]  #300  0-1     Party extinct                       482 plies   21.7s  (300/300)

========================================================
  Rule set    : v5-d8-lurker-range
  Games       : 300
--------------------------------------------------------
  Party wins  :   28  (  9.3%)
  Horde wins  :  188  ( 62.7%)
  Unfinished  :   84  ( 28.0%)
--------------------------------------------------------
  Decisive      :  72.0%
  Party(decisive):  13.0%   95% CI [  9.1% ..  18.1%]
  Imbalance     :  74.1%   (0% = perfectly balanced decisive games)
  Median plies  : 220  (decisive games)

  COMPOSITE SCORE : 0.187   (1.0 = balanced & decisive)
========================================================
  total time : 1381.9s  (4.61s / game, 4x)
  pgn        : reports/v5-overnight/match-v5-d8-lurker-range.pgn
